代號,年份,季,最高價,最低價,成交量(股),交易額(萬),開盤價,收盤價,漲跌幅(%)
1471,2009,4,39.35,24.0,532321891,176302,24.4,38.55,
1471,2010,1,42.0,29.35,268810543,106209,38.55,34.1,-0.11543450064850833
1471,2010,2,36.45,22.0,157881427,65805,34.2,23.75,-0.3035190615835777
1471,2010,3,28.95,20.6,105589675,45564,23.85,24.5,0.031578947368421054
1471,2010,4,24.6,17.6,73590950,32479,24.5,20.1,-0.1795918367346938
1471,2011,1,21.05,15.2,44681150,19378,20.2,17.15,-0.146766169154229
1471,2011,2,18.6,12.75,32407277,14416,17.15,13.9,-0.18950437317784247
1471,2011,3,14.7,9.51,46096797,17735,13.9,10.0,-0.28057553956834536
1471,2011,4,13.3,9.4,75224857,27139,9.61,10.1,0.009999999999999964
1471,2012,1,15.9,9.88,127808028,40983,10.1,12.85,0.2722772277227723
1471,2012,2,12.9,10.1,35839191,13735,12.85,10.75,-0.16342412451361865
1471,2012,3,11.7,9.3,32337096,11959,10.9,10.8,0.00465116279069774
1471,2012,4,10.95,8.25,30184582,10711,10.9,10.45,-0.03240740740740754
1471,2013,1,10.75,8.86,30710233,10824,10.65,9.84,-0.058373205741626744
1471,2013,2,11.4,8.9,84021250,24526,9.81,9.75,-0.00914634146341462
1471,2013,3,12.8,9.4,97594910,31649,9.7,11.35,0.16410256410256407
1471,2013,4,11.6,9.65,52781351,18331,11.4,10.75,-0.05286343612334799
1471,2014,1,13.6,10.7,142602233,41317,10.8,11.75,0.09302325581395349
1471,2014,2,12.0,10.0,51905181,16350,11.85,10.35,-0.1191489361702128
1471,2014,3,11.3,9.35,53517875,16459,10.35,9.53,-0.07922705314009665
1471,2014,4,9.64,7.52,24793802,9477,9.53,9.1,-0.04512067156348371
1471,2015,1,9.47,8.43,21662874,8444,9.2,8.54,-0.0615384615384616
1471,2015,2,8.84,5.48,45610619,15421,8.5,5.57,-0.347775175644028
1471,2015,3,5.81,3.15,44518615,12788,5.59,4.34,-0.22082585278276487
1471,2015,4,5.07,4.1,46968688,12078,4.37,4.87,0.12211981566820283
1471,2016,1,6.52,4.23,36080800,11063,4.9,5.69,0.16837782340862428
1471,2016,2,6.24,4.81,41851975,12219,5.69,5.81,0.02108963093145856
1471,2016,3,5.92,5.1,20485337,8019,5.83,5.3,-0.08777969018932871
1471,2016,4,5.58,4.06,23244386,8024,5.3,4.46,-0.1584905660377358
1471,2017,1,6.43,4.41,43225074,12852,4.53,5.66,0.2690582959641256
1471,2017,2,6.42,4.73,31753204,10221,5.66,5.13,-0.09363957597173149
1471,2017,3,5.97,4.81,64721860,15562,5.14,5.08,-0.00974658869395708
1471,2017,4,5.45,4.8,36122990,9580,5.01,5.0,-0.015748031496063006
1471,2018,1,9.59,4.92,66539518,22588,4.92,7.17,0.434
1471,2018,2,7.64,5.62,40011011,14837,7.26,6.96,-0.02928870292887029
1471,2018,3,7.46,5.63,22241925,8543,6.99,6.13,-0.1192528735632184
1471,2018,4,6.13,4.11,14338624,5682,6.13,5.14,-0.1615008156606852
1471,2019,1,6.39,4.68,13410327,6339,5.1,5.46,0.06225680933852146
1471,2019,2,5.45,4.27,11302556,5598,5.38,4.34,-0.20512820512820515
1471,2019,3,4.46,3.5,12441870,4616,4.39,3.5,-0.19354838709677416
1471,2019,4,4.52,1.82,27928283,8166,3.5,2.64,-0.2457142857142857
1471,2020,1,3.12,1.32,8167933,2809,2.75,1.48,-0.43939393939393945
1471,2020,2,2.63,1.38,6967730,2225,1.48,2.55,0.7229729729729729
1471,2020,3,8.77,2.34,77964687,19212,2.51,6.8,1.6666666666666667
1471,2020,4,6.8,4.25,72072036,19573,6.46,5.92,-0.12941176470588234
1471,2021,1,7.49,4.95,32241669,11508,6.0,7.3,0.2331081081081081
1471,2021,2,15.9,7.35,152842384,54297,7.49,12.45,0.7054794520547945
1503,2009,4,42.7,38.5,153701067,61887,41.8,41.25,
1503,2010,1,43.7,35.8,97369569,39629,41.5,38.55,-0.06545454545454553
1503,2010,2,40.5,33.75,52757801,22868,38.85,35.2,-0.08690012970168598
1503,2010,3,39.2,33.9,60096153,23123,34.8,35.9,0.019886363636363515
1503,2010,4,40.45,35.5,96920765,37021,36.3,40.05,0.11559888579387183
1503,2011,1,40.85,34.2,41395298,16488,40.4,36.3,-0.09363295880149813
1503,2011,2,37.65,34.45,38313840,17175,36.35,36.2,-0.002754820936638962
1503,2011,3,37.4,29.8,39732461,16664,36.4,31.1,-0.14088397790055252
1503,2011,4,32.6,29.55,16841972,8530,30.6,32.0,0.02893890675241153
1503,2012,1,33.75,31.1,17206238,8327,31.9,32.45,0.014062500000000089
1503,2012,2,35.9,31.4,19475062,8698,32.5,35.1,0.08166409861325111
1503,2012,3,37.0,34.1,13908106,5161,35.1,34.8,-0.008547008547008668
1503,2012,4,37.45,33.65,16004897,6723,35.0,36.0,0.03448275862068974
1503,2013,1,36.1,33.15,7910810,4027,36.0,35.6,-0.011111111111111072
1503,2013,2,36.8,34.7,13085610,5733,35.3,35.35,-0.007022471910112359
1503,2013,3,37.1,34.2,13743427,5702,35.0,37.1,0.0495049504950495
1503,2013,4,38.65,36.8,10055186,5478,37.0,38.0,0.024258760107816673
1503,2014,1,38.2,36.5,9625107,4980,38.0,37.15,-0.022368421052631617
1503,2014,2,37.8,35.45,12899684,8003,37.15,37.7,0.014804845222072793
1503,2014,3,41.9,37.3,26254139,13051,37.75,41.3,0.0954907161803712
1503,2014,4,41.3,38.7,8730811,5803,41.1,39.5,-0.04358353510895877
1503,2015,1,40.3,38.7,4595408,3365,39.5,39.95,0.01139240506329121
1503,2015,2,41.8,37.8,14197001,8600,39.8,38.4,-0.03879849812265342
1503,2015,3,40.4,36.9,9301220,4667,38.4,40.0,0.041666666666666706
